0,0,0
-0.479,0.0958,9.79076
-0.45984,0.15328,9.75244
-0.40236,0.1916,9.65664
-0.34488,0.22992,9.61832
-0.30656,0.24908,9.59916
-0.479,0.30656,9.65664
-0.40236,0.40236,9.79076
-0.34488,0.45984,9.8674
-0.42152,0.479,9.8674
-0.78556,0.61312,9.79076
-1.01548,0.49816,10.21228
-0.6706,0.45984,10.02068
-0.51732,0.40236,9.8674
-0.72808,0.22992,9.75244
-0.49816,1.37952,9.98236
-0.2874,0.42152,9.9632
-0.17244,0.13412,9.90572
-0.17244,0.01916,9.84824
-0.479,-0.0958,9.79076
-0.70892,-0.1916,9.7716
-0.49816,-0.26824,9.75244
-0.40236,-0.36404,9.75244
-0.3832,-0.42152,9.75244
-0.3832,-0.45984,9.75244
-0.36404,-0.51732,9.75244
-0.36404,-0.5748,9.73328
-0.32572,-0.61312,9.73328
-0.36404,-0.65144,9.73328
-0.34488,-0.65144,9.75244
-0.32572,-0.6706,9.75244
-0.30656,-0.68976,9.73328
-0.42152,-0.72808,9.71412
-1.76272,-0.80472,9.65664
0,-0.61312,9.79076
-0.01916,-0.68976,9.7716
-0.01916,-0.70892,9.75244
-0.01916,-0.70892,9.75244
-0.01916,-0.70892,9.73328
0.3832,-0.68976,9.7716
0.24908,-0.6706,9.75244
-0.0958,-0.55564,9.7716
-0.03832,-0.74724,9.71412
-0.01916,-0.6706,9.71412
-0.15328,-0.61312,9.73328
-0.03832,-0.59396,9.73328
-0.34488,-0.55564,9.71412
-0.22992,-0.51732,9.73328
-0.1916,-0.479,9.73328
-0.15328,-0.42152,9.73328
-0.11496,-0.34488,9.73328
-0.82388,5.92044,10.40388
-0.91968,0.17244,10.8254
2.81652,-0.70892,11.57264
-0.49816,-0.32572,9.94404
-0.78556,-0.0958,9.44588
-0.82388,0.07664,9.2926
-0.8622,0.22992,9.25428
-0.1916,0.42152,9.21596
-1.7244,0.78556,9.0052
-1.60944,1.16876,9.02436
-1.87768,-3.71704,9.4842
-1.70524,-0.05748,9.79076
-1.66692,0.51732,10.26976
-1.68608,0.7664,10.86372
-1.41784,0.72808,9.98236
2.98896,0.5748,10.13564
0.21076,0.72808,9.7716
-0.45984,0.80472,9.6758
-0.44068,0.88136,9.6758
-0.44068,0.91968,9.69496
-0.42152,0.93884,9.69496
-0.40236,0.93884,9.71412
-0.55564,0.958,9.71412
-0.34488,0.93884,9.73328
-0.42152,0.93884,9.73328
-0.3832,0.958,9.73328
-0.34488,0.958,9.73328
-0.30656,0.958,9.73328
-0.2874,0.90052,9.75244
-2.06928,0.99632,9.6758
0.78556,0.84304,9.80992
-0.07664,0.88136,9.73328
0.2874,0.88136,9.75244
-0.07664,0.90052,9.73328
0.68976,0.8622,9.80992
0.07664,0.88136,9.75244
-0.03832,0.88136,9.75244
-0.2874,0.74724,9.79076
-0.0958,0.80472,9.7716
0.03832,0.8622,9.73328
0.17244,0.97716,9.71412
0.03832,0.93884,9.71412
0,0.90052,9.73328
0.11496,1.41784,9.69496
0,0.51732,9.71412
0.01916,0.84304,9.73328
-0.01916,0.82388,9.71412
-0.03832,0.70892,9.71412
-0.05748,0.51732,9.73328
-0.32572,0.22992,10.46136
2.47164,-5.40312,10.99784
2.52912,0.59396,10.17396
