Format Version,1.1,Take Name,Take 2021-03-01 05.56.04 AM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2021-03-01 05.56.04.712 AM,Total Frames,2101,Rotation Type,Quaternion

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.050000,-0.015297,-0.002086,0.005027,0.999868,-0.400223,0.419275,0.293009,0.000098,-0.405303,0.505136,0.290415,0.770761,-0.395122,0.330157,0.294163,0.855548,-0.400245,0.422532,0.294450,0.783993,-0.300520,0.001946,0.000021,-0.000405,0.001669,0.000195,-0.000090,0.001437,0.399283,-3.386232,0.723883,-0.448073,-0.405308,0.505214,0.290378,-0.395130,0.330155,0.294109,-0.400230,0.422466,0.294519,,,,,,,,,,,,,,,,,,
7,0.058333,0.004429,-0.353887,0.007249,0.935250,-0.400111,0.419317,0.292915,0.001920,-0.404745,0.505206,0.290432,0.491350,-0.394418,0.330236,0.294223,0.475533,-0.401171,0.422507,0.294091,0.000000,-0.300434,0.001930,0.000040,-0.000414,0.001629,0.000196,-0.000022,0.001430,0.399309,-3.386185,0.723881,-0.448053,-0.405160,0.504970,0.290365,-0.394842,0.329906,0.294167,-0.401708,0.425054,0.293897,,,,,,,,,,,,,,,,,,
8,0.066667,0.005593,-0.371732,0.007026,0.928297,-0.400539,0.419746,0.292801,0.001920,-0.405108,0.505641,0.290369,0.491357,-0.394864,0.330665,0.294090,0.475719,-0.401644,0.422934,0.293944,0.000000,-0.300465,0.001950,0.000033,-0.000405,0.001640,0.000195,0.000040,0.001486,0.399304,-3.386281,0.723896,-0.448101,-0.405147,0.505115,0.290375,-0.394889,0.330046,0.294085,-0.401784,0.425192,0.293808,,,,,,,,,,,,,,,,,,
9,0.075000,-0.015340,-0.000493,0.005106,0.999869,-0.400101,0.419338,0.292996,0.000095,-0.405198,0.505198,0.290408,0.768041,-0.394987,0.330221,0.294142,0.860585,-0.400118,0.422596,0.294436,0.799304,-0.300434,0.002018,0.000030,-0.000361,0.001733,0.000206,0.000013,0.001508,0.399289,-3.386532,0.723590,-0.448649,-0.405214,0.505281,0.290348,-0.394993,0.330219,0.294086,-0.400108,0.422540,0.294514,,,,,,,,,,,,,,,,,,
10,0.083333,0.008411,-0.410182,0.006384,0.911943,-0.400782,0.419817,0.292734,0.001945,-0.405216,0.505723,0.290479,0.495141,-0.395148,0.330731,0.293921,0.488498,-0.401982,0.422996,0.293801,0.000000,-0.300342,0.002057,0.000034,-0.000321,0.001719,0.000229,-0.000007,0.001345,0.399229,-3.386553,0.723586,-0.448687,-0.405214,0.505159,0.290487,-0.395135,0.330120,0.293927,-0.402019,0.425302,0.293615,,,,,,,,,,,,,,,,,,
11,0.091667,0.005750,-0.371713,0.006650,0.928306,-0.400843,0.419954,0.292712,0.001856,-0.405363,0.505852,0.290329,0.490905,-0.395220,0.330868,0.293950,0.497816,-0.401946,0.423141,0.293857,0.000000,-0.300384,0.002039,0.000029,-0.000370,0.001689,0.000255,-0.000064,0.001372,0.399258,-3.386286,0.723913,-0.448096,-0.405367,0.505273,0.290342,-0.395230,0.330320,0.293959,-0.402027,0.425343,0.293695,,,,,,,,,,,,,,,,,,
12,0.100000,0.007804,-0.403474,0.006543,0.914935,-0.400767,0.419820,0.292808,0.002003,-0.405223,0.505724,0.290501,0.490564,-0.395127,0.330735,0.294036,0.474073,-0.401950,0.423001,0.293889,0.000000,-0.300364,0.001983,0.000105,-0.000342,0.001659,0.000302,-0.000020,0.001357,0.399343,-3.386781,0.723453,-0.448759,-0.405237,0.505169,0.290512,-0.395131,0.330076,0.294043,-0.402035,0.425345,0.293730,,,,,,,,,,,,,,,,,,
13,0.108333,0.003952,-0.343671,0.006853,0.939057,-0.400760,0.419723,0.292776,0.001840,-0.405358,0.505615,0.290325,0.496261,-0.395131,0.330638,0.294031,0.491458,-0.401791,0.422916,0.293973,0.000000,-0.300529,0.001906,0.000023,-0.000484,0.001575,0.000206,-0.000068,0.001386,0.399285,-3.386302,0.723918,-0.448075,-0.405354,0.505074,0.290342,-0.395129,0.330063,0.294044,-0.401865,0.425098,0.293805,,,,,,,,,,,,,,,,,,
14,0.116667,-0.015323,-0.001984,0.005330,0.999866,-0.400124,0.419257,0.293046,0.000063,-0.405256,0.505114,0.290448,0.853104,-0.394969,0.330142,0.294203,0.909192,-0.400147,0.422514,0.294487,0.857455,-0.300491,0.001936,0.000026,-0.000426,0.001615,0.000201,0.000004,0.001481,0.399312,-3.385011,0.724484,-0.447156,-0.405267,0.505169,0.290385,-0.394978,0.330148,0.294138,-0.400135,0.422478,0.294582,,,,,,,,,,,,,,,,,,
15,0.125000,-0.014627,-0.009643,0.005101,0.999834,-0.400103,0.419236,0.292903,0.000091,-0.405176,0.505098,0.290353,0.772221,-0.394985,0.330118,0.294008,0.865182,-0.400147,0.422491,0.294348,0.816753,-0.300491,0.001998,-0.000006,-0.000423,0.001667,0.000182,-0.000009,0.001490,0.399259,-3.385017,0.724520,-0.447157,-0.405198,0.505172,0.290338,-0.394995,0.330102,0.293968,-0.400147,0.422430,0.294385,,,,,,,,,,,,,,,,,,
